id,city,region,country,country_code,air_quality,water_pollution
3584,Richards Bay,KwaZulu-Natal,South Africa,710,75,25
3585,Gannan,Heilongjiang,China,156,0,50
3586,Spring Hill,Tennessee,United States of America,840,87.5,25
3587,Airway Heights,Washington,United States of America,840,100,0
3588,Yelm,Washington,United States of America,840,50,50
3589,Sequim,Washington,United States of America,840,100,25
3590,Brier,Washington,United States of America,840,100,0
3591,Kirtipur,Bagmati,Nepal,524,62.5,50
3592,Katoomba,New South Wales,Australia,36,100,0
3593,Siddharthanagar,,Nepal,524,25,75
3594,Goose Creek,South Carolina,United States of America,840,100,0
3595,Atlantida,Canelones Department,Uruguay,858,66.66666667,33.33333333
3596,Gympie,Queensland,Australia,36,62.5,62.5
3597,Punta Cana,La Altagracia Province,Dominican Republic,214,40.625,65.625
3598,Waterloo,Wisconsin,United States of America,840,100,50
3599,Neenah,Wisconsin,United States of America,840,50,0
3600,Kempton Park,Gauteng,South Africa,710,37.5,50
3601,Hempstead,New York,United States of America,840,100,50
3602,Smithtown,New York,United States of America,840,100,50
3603,Hella,,Iceland,352,100,0
3604,Hermanus,Western Cape,South Africa,710,100,0
3605,Rio de Mouro,Lisbon,Portugal,620,100,50
3606,Temara,Rabat-Sale-Kenitra,Morocco,504,75,25
3607,Atibaia,Sao Paulo,Brazil,76,75,25
